,Date,IPCA
0,2011-01-01,0.43
1,2011-02-01,-0.02
2,2011-03-01,0.27
3,2011-04-01,0.6
4,2011-05-01,0.36
5,2011-06-01,0.19
6,2011-07-01,-0.04
7,2011-08-01,0.55
8,2011-09-01,0.52
9,2011-10-01,0.39
10,2011-11-01,0.57
11,2011-12-01,0.51
12,2012-01-01,0.0
13,2012-02-01,-0.21
14,2012-03-01,-0.08
15,2012-04-01,0.55
16,2012-05-01,0.49
17,2012-06-01,-0.31
18,2012-07-01,0.06
19,2012-08-01,0.44
20,2012-09-01,0.92
21,2012-10-01,1.0
22,2012-11-01,0.67
23,2012-12-01,0.86
24,2013-01-01,1.03
25,2013-02-01,0.63
26,2013-03-01,0.36
27,2013-04-01,0.24
28,2013-05-01,0.24
29,2013-06-01,0.11
30,2013-07-01,0.11
31,2013-08-01,0.39
32,2013-09-01,0.61
33,2013-10-01,0.96
34,2013-11-01,0.5
35,2013-12-01,0.68
36,2014-01-01,0.67
37,2014-02-01,0.26
38,2014-03-01,0.8
39,2014-04-01,0.67
40,2014-05-01,0.72
41,2014-06-01,0.36
42,2014-07-01,0.27
43,2014-08-01,0.11
44,2014-09-01,0.66
45,2014-10-01,0.38
46,2014-11-01,0.28
47,2014-12-01,0.62
48,2015-01-01,0.31
49,2015-02-01,0.59
50,2015-03-01,0.57
51,2015-04-01,0.63
52,2015-05-01,0.79
53,2015-06-01,0.68
54,2015-07-01,0.5
55,2015-08-01,0.42
56,2015-09-01,0.46
57,2015-10-01,0.99
58,2015-11-01,1.14
59,2015-12-01,0.91
60,2016-01-01,0.92
61,2016-02-01,1.06
62,2016-03-01,0.89
63,2016-04-01,0.48
64,2016-05-01,0.71
65,2016-06-01,0.56
66,2016-07-01,0.93
67,2016-08-01,0.54
68,2016-09-01,-0.04
69,2016-10-01,0.08
70,2016-11-01,0.12
71,2016-12-01,0.32
72,2017-01-01,0.24
73,2017-02-01,-0.12
74,2017-03-01,-0.1
75,2017-04-01,0.01
76,2017-05-01,0.02
77,2017-06-01,-0.24
78,2017-07-01,-0.39
79,2017-08-01,-0.34
80,2017-09-01,0.0
81,2017-10-01,0.03
82,2017-11-01,-0.13
83,2017-12-01,0.49
84,2018-01-01,0.01
85,2018-02-01,-0.2
86,2018-03-01,-0.13
87,2018-04-01,-0.01
88,2018-05-01,0.02
89,2018-06-01,1.39
90,2018-07-01,0.45
91,2018-08-01,0.01
92,2018-09-01,0.2
93,2018-10-01,0.44
94,2018-11-01,-0.61
95,2018-12-01,0.13
96,2019-01-01,0.12
97,2019-02-01,0.02
98,2019-03-01,0.51
99,2019-04-01,0.36
100,2019-05-01,0.14
101,2019-06-01,0.11
102,2019-07-01,-0.17
103,2019-08-01,0.09
104,2019-09-01,0.14
105,2019-10-01,0.36
106,2019-11-01,0.79
107,2019-12-01,1.94
108,2020-01-01,-0.28
109,2020-02-01,0.02
110,2020-03-01,0.14
111,2020-04-01,-0.25
112,2020-05-01,0.05
113,2020-06-01,0.43
114,2020-07-01,0.63
115,2020-08-01,0.71
116,2020-09-01,1.51
117,2020-10-01,1.71
118,2020-11-01,1.61
119,2020-12-01,1.58
120,2021-01-01,0.63
121,2021-02-01,0.73
122,2021-03-01,0.59
123,2021-04-01,0.47
124,2021-05-01,0.98
125,2021-06-01,0.8
126,2021-07-01,0.56
127,2021-08-01,1.08
128,2021-09-01,1.1
129,2021-10-01,1.22
130,2021-11-01,0.58
131,2021-12-01,1.58
132,2022-01-01,1.15
133,2022-02-01,0.95
