Épocas,Tam_Mini_Batch,Janela,Unidades_Camada_1,Unidades_Camada_2,Ativação,Dropout,Otimizador,Perda,RMSE_Medio,MAE_Medio,corr_Medio,Tmp_Medio_Tr
155.27,32,3,64,32,tanh,0.18,adam,mse,0.13721010025437347,0.1070320151323054,0.9725812773871001,56.11964062054952
149.33,32,3,64,32,tanh,0.18,adam,mse,0.16912745983205785,0.13535483349516267,0.9731363489175565,55.239114967981976
75,32,15,64,32,tanh,0.18,adam,mse,0.2636596388855624,0.22110367201773015,0.9716934408921296,75.82758887608846
75,32,7,64,32,tanh,0.18,adam,mse,0.24508415289406363,0.20163297398327246,0.9722947995827973,55.98596034049988
75,32,3,32,0,tanh,0.18,adam,mse,0.1480392869667492,0.11587717408057559,0.9729008072873241,19.764344390233358
75,32,3,64,0,tanh,0.18,adam,mse,0.1566196558589735,0.12405550206930124,0.9733126484251144,20.875825611750283
75,32,3,32,16,tanh,0.18,adam,mse,0.16107454222317968,0.12807940154863573,0.9727509836783708,32.4123833656311
75,32,3,64,32,tanh,0.18,adam,mse,0.14081429252029645,0.10919029650491148,0.9732857665477648,34.99589657783508
75,32,3,64,32,tanh,0.25,adam,mse,0.14088694081967051,0.10878025827903137,0.9732127062447024,33.08465183575948
75,32,3,64,32,tanh,0.15,adam,mse,0.14934740801818253,0.11690251399919237,0.9732514595600538,36.008309268951415
75,32,3,64,32,tanh,0.2,adam,mse,0.14347183417373272,0.11135392917572166,0.9731695519238392,32.83031423886617
75,32,3,64,32,sigmoid,0.2,adam,mse,0.6936283196794556,0.5947357447287065,0.9674274175165197,29.21327611605326
75,32,3,64,32,softmax,0.2,adam,mse,1.6279144241894554,1.5344292453516768,0.6850441274993594,27.3051779905955
75,32,3,64,32,relu,0.2,adam,msle,0.2322980802672494,0.1838425136018378,0.9684308463869934,30.44068822860718
75,32,3,64,32,relu,0.2,adam,mape,1.3079229383345776,1.184158128015308,0.7944305843541944,25.347839466730754
75,32,3,64,32,relu,0.2,adam,mae,0.2852948026993592,0.21995850753730536,0.9691344712858856,23.537447929382324
75,32,3,64,32,relu,0.2,Adagrad,mse,2.4473654726947887,2.3873015262723825,0.4834641399066746,22.782417742411294
75,32,3,64,32,relu,0.2,SGD,mse,2.1513971834063472,2.083700158919638,0.5276861983088191,24.20361073811849
75,32,3,64,32,relu,0.2,adam,mse,0.18315322334621556,0.14579687934206892,0.9697160468953183,29.35417561531067
75,32,3,64,32,relu,0.2,RMSprop,mse,0.2381009421610822,0.20343021791744811,0.9698129386017947,29.11864069302877
75,16,3,64,32,relu,0.2,RMSprop,mse,0.2611673808911013,0.2293727309988225,0.970862396494732,40.31857663790385
120,16,3,64,32,relu,0.2,RMSprop,mse,0.5951258478136239,0.5464482617487412,0.970556103068272,67.16255691846212
